,addr,초등학교,중학교,고등학교
0,서울특별시 강남구 개포동,5개,2개,4개
1,서울특별시 강남구 논현동,2개,1개,0개
2,서울특별시 강남구 대치동,4개,4개,3개
3,서울특별시 강남구 도곡동,2개,4개,3개
4,서울특별시 강남구 삼성동,2개,2개,1개
5,서울특별시 강남구 세곡동,2개,0개,0개
6,서울특별시 강남구 수서동,2개,2개,2개
7,서울특별시 강남구 신사동,1개,1개,0개
8,서울특별시 강남구 압구정동,1개,2개,3개
9,서울특별시 강남구 역삼동,2개,2개,1개
10,서울특별시 강남구 일원동,4개,1개,3개
11,서울특별시 강남구 자곡동,2개,1개,1개
12,서울특별시 강남구 청담동,2개,1개,1개
13,서울특별시 강동구 강일동,3개,3개,1개
14,서울특별시 강동구 고덕동,4개,3개,3개
15,서울특별시 강동구 길동,3개,1개,0개
16,서울특별시 강동구 둔촌동,2개,3개,2개
17,서울특별시 강동구 명일동,3개,0개,1개
18,서울특별시 강동구 상일동,4개,2개,5개
19,서울특별시 강동구 성내동,2개,1개,0개
20,서울특별시 강동구 암사동,3개,2개,1개
21,서울특별시 강동구 천호동,3개,4개,1개
22,서울특별시 강북구 미아동,7개,6개,6개
23,서울특별시 강북구 번동,3개,2개,0개
24,서울특별시 강북구 수유동,4개,4개,1개
25,서울특별시 강서구 가양동,3개,2개,3개
26,서울특별시 강서구 공항동,1개,2개,0개
27,서울특별시 강서구 내발산동,3개,4개,8개
28,서울특별시 강서구 등촌동,8개,5개,6개
29,서울특별시 강서구 마곡동,4개,2개,2개
30,서울특별시 강서구 방화동,5개,3개,2개
31,서울특별시 강서구 염창동,3개,2개,0개
32,서울특별시 강서구 화곡동,8개,2개,2개
33,서울특별시 관악구 남현동,1개,0개,0개
34,서울특별시 관악구 봉천동,10개,7개,9개
35,서울특별시 관악구 신림동,11개,9개,8개
36,서울특별시 광진구 광장동,3개,3개,1개
37,서울특별시 광진구 구의동,3개,1개,1개
38,서울특별시 광진구 군자동,2개,0개,0개
39,서울특별시 광진구 능동,1개,0개,1개
40,서울특별시 광진구 자양동,7개,4개,2개
41,서울특별시 광진구 중곡동,4개,2개,3개
42,서울특별시 광진구 화양동,2개,2개,1개
43,서울특별시 구로구 가리봉동,1개,0개,0개
44,서울특별시 구로구 개봉동,4개,3개,0개
45,서울특별시 구로구 고척동,5개,2개,2개
46,서울특별시 구로구 구로동,7개,4개,3개
47,서울특별시 구로구 신도림동,2개,1개,1개
48,서울특별시 구로구 오류동,3개,1개,1개
49,서울특별시 구로구 온수동,1개,0개,0개
50,서울특별시 구로구 천왕동,2개,1개,0개
51,서울특별시 구로구 항동,1개,1개,1개
52,서울특별시 금천구 독산동,9개,5개,1개
53,서울특별시 금천구 시흥동,9개,4개,5개
54,서울특별시 노원구 공릉동,7개,3개,2개
55,서울특별시 노원구 상계동,17개,9개,6개
56,서울특별시 노원구 월계동,6개,5개,5개
57,서울특별시 노원구 중계동,9개,6개,9개
58,서울특별시 노원구 하계동,3개,3개,3개
59,서울특별시 도봉구 도봉동,3개,2개,2개
60,서울특별시 도봉구 방학동,5개,3개,1개
61,서울특별시 도봉구 쌍문동,6개,5개,4개
62,서울특별시 도봉구 창동,9개,3개,3개
63,서울특별시 동대문구 답십리동,3개,1개,0개
64,서울특별시 동대문구 용두동,1개,0개,0개
65,서울특별시 동대문구 이문동,1개,1개,1개
66,서울특별시 동대문구 장안동,4개,2개,1개
67,서울특별시 동대문구 전농동,4개,3개,2개
68,서울특별시 동대문구 제기동,2개,2개,1개
69,서울특별시 동대문구 청량리동,1개,1개,1개
70,서울특별시 동대문구 회기동,3개,1개,1개
71,서울특별시 동대문구 휘경동,2개,3개,3개
72,서울특별시 동작구 노량진동,1개,0개,0개
